ticker,weight
AMP,0.026564317202394473
MSFT,0.06140237421141702
PEG,0.01710438941335262
QCOM,0.014548895644657701
ISRG,0.01636440792768033
AAPL,0.06513410474193666
CAT,0.027139416565055786
AMZN,0.04231406105209788
ABBV,0.012187365152370747
PWR,0.015845665103144158
V,0.038160807245509326
LH,0.010307764752710658
LLY,0.016683973002599172
GOOG,0.04651213783722353
KMB,0.02280305689805122
NVDA,0.03122717514598842
BXP,0.009672988340269839
HP,0.0030228956908046546
COST,0.017615727153499263
JPM,0.04745833942914659
LMT,0.017911203288377555
PTC,0.013357126167274833
WBD,0.00498056935133255
ORCL,0.01741283850373181
SHW,0.012622548841743495
AVGO,0.02678516807591148
ELV,0.02057319728627214
META,0.019297953561473135
TSLA,0.010515270131754306
TMO,0.0234950071598708
CMCSA,0.015279621033086447
WM,0.029289706698801515
BA,0.0072281795059784635
RL,0.012127590354429636
CTRA,0.005389504210807967
PM,0.01759577550524443
AMGN,0.018575524045340925
NDAQ,0.017847204403464514
INTC,0.00847224568043596
OTIS,0.01999606835025001
RMD,0.009653546907449904
VST,0.007772665498302912
LOW,0.01545158897322948
XOM,0.02538780550673894
CRM,0.012579367127437431
WMT,0.020656168165679153
ALL,0.012825835319631641
NTAP,0.01012487072660585
ES,0.01704034519776153
UAL,0.007685641911670995
